number0,number1,number2,number3,number4,number5,number6,number7,number8,number9
26,85,0,96,33,8,40,12,13,96
37,1,62,60,27,76,11,63,84,84
42,63,68,88,43,16,48,57,48,88
44,90,13,5,76,18,46,86,51,38
42,86,21,72,8,28,87,13,11,69
4,59,49,88,45,4,95,84,63,62
13,94,90,83,1,19,0,2,50,13
53,40,70,42,35,83,86,68,35,24
85,85,40,37,58,34,7,47,48,7
3,17,79,51,9,91,31,29,90,70
12,40,91,66,36,85,46,73,7,50
64,63,91,29,12,4,37,37,35,58
22,36,59,81,47,91,98,34,15,65
77,43,46,92,88,16,61,55,4,48
79,22,80,32,3,22,8,81,76,2
94,72,61,12,90,78,93,62,34,23
80,24,13,70,92,7,34,38,20,71
66,7,30,16,39,85,23,95,9,49
82,31,86,10,59,40,95,40,14,69
16,65,40,42,14,55,22,16,94,78
80,57,63,30,53,70,25,64,24,98
11,10,99,59,90,12,9,7,69,16
0,57,11,95,2,72,95,56,89,65
32,24,22,75,1,6,10,81,83,78
8,18,57,62,19,49,67,87,63,73
94,79,56,25,83,34,14,95,88,4
32,43,12,62,20,13,4,84,88,10
54,60,28,24,52,65,17,74,44,14
68,6,90,96,8,90,88,1,65,41
47,47,73,56,79,75,17,11,34,63
31,67,7,46,4,73,95,33,83,25
30,21,69,39,26,95,47,55,79,58
63,99,30,94,58,54,31,74,64,23
42,85,16,59,40,36,57,83,28,29
97,90,23,30,73,14,78,56,99,62
59,46,8,70,50,65,27,63,62,17
13,71,87,15,93,75,97,46,67,17
25,89,31,88,14,61,29,27,92,2
57,18,30,81,20,45,26,74,36,32
96,93,14,82,79,76,83,30,56,33
71,9,2,19,67,82,55,25,19,53
58,71,37,5,89,40,99,30,46,50
59,63,97,17,61,70,25,15,53,91
57,55,40,7,29,50,55,63,36,60
56,41,55,2,37,70,73,32,45,67
36,23,95,64,28,67,40,26,74,76
96,94,36,40,79,26,75,92,45,3
19,84,29,32,48,73,28,80,22,41
66,94,19,0,11,66,97,77,88,48
96,65,70,18,72,90,0,68,29,3
17,38,60,24,11,19,50,63,35,96
12,81,2,57,3,80,86,59,94,73
1,14,3,95,10,94,34,19,38,50
80,5,19,75,82,2,33,73,30,92
84,74,12,52,15,26,98,77,89,13
16,12,66,85,22,20,68,26,51,40
10,43,19,94,3,68,34,48,54,67
48,45,38,29,8,23,28,63,3,96
98,60,56,50,19,14,76,7,86,62
50,14,13,31,57,89,89,35,28,58
94,11,9,2,23,81,52,39,67,77
12,93,1,99,64,70,61,95,56,93
62,36,78,0,48,81,28,81,28,27
26,63,2,90,66,24,75,19,13,86
27,67,11,93,41,90,78,73,63,83
17,76,97,39,89,26,62,80,58,7
75,1,6,58,35,12,45,16,7,43
78,77,37,29,85,19,10,80,65,67
54,91,48,24,91,9,22,81,59,96
76,87,7,6,80,62,72,89,1,9
87,19,20,95,34,46,38,4,63,35
29,66,34,3,76,72,52,22,84,31
54,95,73,51,47,26,21,20,9,24
78,87,54,99,25,69,48,40,99,20
77,60,32,5,52,76,66,7,84,78
9,49,14,37,7,27,61,9,37,5
98,13,63,60,12,65,46,73,28,77
66,71,77,38,13,94,38,84,12,42
29,32,30,99,5,10,54,93,47,4
64,37,86,84,96,52,37,2,86,11
38,58,99,80,42,7,5,3,95,61
14,72,88,59,11,0,17,72,0,11
21,74,41,98,16,74,79,1,93,42
87,48,52,88,42,60,42,90,62,24
98,57,59,36,77,69,72,36,46,31
44,68,80,96,97,94,99,44,42,17
56,36,14,87,65,58,74,73,35,68
80,15,38,34,53,64,42,59,40,0
49,93,6,27,99,62,69,0,10,48
76,46,42,92,62,27,30,72,12,21
85,92,71,77,80,84,16,7,23,64
42,93,82,57,22,89,62,60,3,17
5,48,15,81,53,27,93,21,52,53
88,59,3,90,18,18,79,19,59,10
3,75,6,98,62,63,45,43,73,45
48,40,85,79,59,4,40,2,54,48
23,38,82,34,83,32,19,52,37,31
19,77,59,12,11,38,55,33,24,26
75,17,51,58,99,36,39,39,21,19
55,15,34,88,78,44,64,30,21,15
73,52,47,90,48,78,8,83,86,37
43,19,30,14,40,33,47,63,11,21
8,36,37,92,72,94,10,16,77,70
30,14,85,47,66,4,81,96,70,37
84,85,75,93,94,72,24,69,45,43
29,76,95,40,1,9,29,58,59,90
56,9,65,74,93,27,32,59,64,61
81,51,45,89,60,24,47,50,45,52
50,56,51,34,31,86,66,13,19,46
36,56,24,73,29,2,4,20,25,7
93,32,32,97,47,62,77,89,95,8
8,54,92,10,46,20,94,12,33,83
98,96,11,54,61,69,83,73,67,39
11,83,27,77,4,23,18,88,60,49
25,69,86,28,60,37,67,95,7,58
42,85,78,77,41,49,17,52,21,70
67,60,65,95,62,41,7,61,35,91
44,94,92,45,17,4,68,93,11,20
72,3,7,96,23,15,90,62,69,79
28,25,41,57,50,52,26,80,33,83
7,53,57,73,25,87,23,11,55,8
14,17,77,41,86,75,76,42,6,48
37,26,44,73,8,26,62,88,57,89
18,30,17,86,37,3,5,61,54,68
11,15,22,26,54,79,33,66,89,76
39,58,2,17,2,78,18,52,51,41
3,79,7,66,63,99,55,65,80,60
93,34,31,26,63,87,36,68,48,85
39,70,71,33,88,37,28,19,68,97
63,35,42,47,42,35,43,85,68,91
47,78,50,74,49,61,95,44,40,95
92,91,40,90,4,74,10,72,93,10
16,94,42,80,27,38,73,50,32,64
58,84,40,74,38,6,2,63,47,95
14,44,32,79,23,33,8,93,96,9
17,56,74,5,87,82,84,53,69,14
20,21,15,53,34,63,38,73,23,12
42,76,95,98,63,38,63,30,55,45
52,13,47,35,42,22,82,53,24,99
62,65,7,86,92,97,23,17,87,11
62,43,2,34,56,14,53,75,86,8
83,62,28,64,58,39,24,59,73,77
41,61,82,17,78,15,88,68,20,21
69,17,32,24,52,65,66,33,74,82
12,94,91,30,54,72,30,62,24,82
90,44,7,76,88,10,52,83,7,8
1,56,2,72,98,73,81,55,9,54
37,29,0,40,20,51,28,75,25,90
80,96,60,65,47,30,19,12,51,63
99,93,1,57,62,6,82,20,39,92
78,57,92,29,43,56,73,97,45,65
11,88,92,40,84,71,94,62,92,68
39,42,56,28,8,58,67,30,72,81
73,89,2,1,49,85,49,75,13,89
80,98,38,82,49,91,47,96,80,44
87,22,92,45,27,82,70,94,49,7
6,64,25,41,29,64,46,37,56,50
41,19,58,40,32,58,16,77,0,30
22,11,74,22,27,81,62,42,75,93
34,48,4,80,71,34,67,44,11,63
52,4,32,83,94,46,28,44,45,4
74,8,24,89,95,51,65,4,92,47
2,20,94,68,29,77,68,89,0,22
78,91,60,40,44,11,72,5,14,87
51,17,65,5,53,92,19,92,64,94
36,71,34,47,99,68,35,57,35,20
1,94,31,52,72,9,96,93,9,21
36,26,13,70,30,97,4,50,4,71
42,52,76,96,49,70,20,48,59,20
91,61,84,5,37,49,79,73,15,47
95,76,25,32,13,95,98,30,17,25
4,93,42,13,2,73,11,69,65,11
65,21,10,97,73,61,14,76,76,41
39,21,5,81,88,42,40,56,58,69
88,79,64,83,76,86,97,28,72,17
56,20,16,75,1,46,84,17,36,45
97,92,85,70,17,73,98,93,92,67
71,73,25,35,80,4,1,35,41,33
69,32,53,55,40,16,25,0,80,87
98,0,74,86,74,26,92,1,56,66
33,14,20,40,58,42,94,78,42,7
23,60,80,71,46,32,95,76,93,26
54,56,67,32,72,35,67,89,77,67
64,26,38,9,27,34,39,54,75,98
36,88,32,77,90,79,54,65,13,93
88,35,70,10,1,22,46,91,64,90
83,13,56,63,0,0,82,81,22,37
12,16,32,43,87,22,41,64,34,7
41,29,55,6,60,1,64,19,54,36
36,65,65,88,67,64,75,62,36,29
35,78,16,77,57,35,26,55,2,15
63,82,53,8,3,34,19,57,70,99
42,15,34,3,9,0,72,19,93,93
41,60,42,1,66,99,95,78,83,22
17,88,19,74,8,40,76,82,91,36
3,53,76,65,89,19,43,27,21,94
55,21,16,16,30,3,91,48,33,30
31,85,70,1,35,20,36,48,67,91
55,46,82,34,28,12,26,10,40,18
64,65,93,43,20,19,55,51,40,74
82,67,46,31,10,22,53,34,85,47
38,8,8,77,53,91,30,13,43,48
89,14,53,24,70,74,45,67,51,47
97,17,1,36,24,41,13,14,17,61
35,89,53,67,30,65,98,46,37,5
31,67,31,70,35,81,52,75,83,34
51,27,47,87,96,80,21,10,29,91
18,90,11,93,93,80,44,14,12,54
22,32,68,96,42,7,40,3,31,42
17,53,64,31,72,69,84,26,67,23
41,17,71,51,58,80,80,46,75,41
50,65,44,24,90,86,90,34,51,77
46,93,36,46,51,41,45,64,30,18
34,87,53,65,10,20,73,98,71,0
9,16,82,58,29,56,42,98,44,77
36,56,90,23,69,94,75,51,37,43
92,54,66,41,29,71,44,32,66,41
92,99,20,59,56,15,80,28,51,63
95,94,45,56,86,99,70,11,33,62
14,41,44,26,53,29,18,51,33,42
24,5,24,48,21,69,59,46,29,4
13,69,13,72,75,14,71,16,7,13
69,42,60,86,81,0,47,11,2,89
38,72,97,80,88,8,5,79,73,65
27,5,55,51,62,90,4,82,43,88
93,93,77,51,1,96,66,66,90,31
63,84,60,30,18,34,7,50,51,78
86,35,18,32,77,97,23,26,1,80
69,81,41,65,23,52,38,75,48,1
87,86,97,20,2,33,40,35,50,38
44,4,90,8,74,83,94,87,77,94
34,68,68,51,92,48,76,74,60,75
56,39,47,10,33,76,87,89,40,15
85,31,75,83,93,63,85,73,6,77
81,62,39,70,33,9,34,73,4,72
15,62,2,43,26,29,14,25,32,47
69,73,93,67,92,67,31,73,3,15
31,86,81,64,71,66,60,40,32,59
21,59,51,88,46,69,24,43,95,78
65,66,94,76,77,92,81,59,58,63
95,87,45,2,29,23,86,9,85,21
62,46,38,99,90,44,42,84,28,2
49,89,97,10,40,21,42,97,71,42
75,21,0,43,65,66,41,96,54,32
73,14,50,39,10,54,91,86,38,13
23,87,45,41,59,12,2,80,17,66
56,62,44,16,68,54,65,39,83,81
3,31,75,49,91,88,72,43,82,27
27,25,81,71,42,13,9,84,46,13
31,6,69,76,28,27,3,14,46,22
75,94,76,69,11,3,34,26,65,87
69,23,69,57,96,44,7,5,9,94
78,45,89,27,43,40,44,76,25,78
6,87,87,4,96,25,16,4,92,29
45,44,52,65,98,92,69,48,37,90
35,57,67,67,90,84,92,42,56,14
5,26,7,59,7,24,79,14,91,90
25,27,73,78,78,84,82,4,64,31
94,77,43,75,42,86,4,11,82,16
36,58,18,1,49,52,80,81,34,61
34,79,11,98,19,14,68,81,66,3
2,68,92,39,54,72,55,60,20,92
67,96,34,95,70,40,51,65,11,67
22,12,38,46,50,19,84,94,58,56
48,89,9,77,70,28,21,13,77,10
56,91,25,1,39,73,99,23,96,49
73,56,31,79,62,0,72,26,80,82
84,49,59,30,22,49,64,87,17,50
87,97,27,49,88,27,31,62,63,28
50,72,57,19,4,59,30,93,93,27
42,68,21,35,10,49,43,99,6,2
17,57,25,59,35,44,93,23,16,89
88,83,86,5,59,11,95,95,20,86
19,94,56,91,88,9,92,65,77,37
99,59,35,26,87,58,64,18,20,39
91,41,77,70,55,2,27,10,35,2
33,37,56,29,74,52,66,61,10,33
33,57,53,24,20,22,84,99,83,9
65,19,40,66,88,34,84,37,82,62
38,57,88,65,96,98,30,15,69,12
68,16,68,19,34,53,67,74,8,4
66,46,48,59,84,60,25,7,1,52
45,49,35,64,0,26,16,16,87,30
86,70,86,87,44,74,64,91,0,92
29,83,42,36,80,59,54,40,42,5
51,3,28,6,60,39,79,59,92,62
93,12,23,87,11,84,48,87,54,42
79,89,20,39,61,44,31,89,51,79
28,77,19,44,4,80,83,76,20,62
59,66,89,43,8,53,32,15,69,16
14,64,96,31,70,71,93,44,66,53
1,78,97,93,6,20,54,87,24,45
27,68,74,44,62,48,57,85,2,11
73,40,60,37,26,97,33,16,18,72
65,58,48,75,35,18,76,87,17,58
26,42,65,59,58,75,3,50,96,88
68,51,99,11,53,90,93,48,24,18
38,22,59,64,40,22,40,56,53,47
44,17,10,8,31,73,46,46,71,39
40,95,6,64,76,63,33,38,87,1
53,48,52,88,51,52,62,63,59,14
25,61,21,7,88,41,39,58,6,38
76,39,17,77,52,64,26,15,48,44
